Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,97.00,97.879997,96.830002,97.150002,4455900,78.257989
2006-12-28,97.110001,97.400002,96.870003,96.970001,4501700,78.112992
2006-12-27,96.300003,97.230003,96.269997,97.199997,4571600,78.298262
2006-12-26,95.00,95.809998,94.919998,95.660004,2278700,77.057739
2006-12-22,95.75,95.980003,95.239998,95.25,3031500,76.727466
2006-12-21,95.779999,96.50,95.529999,95.910004,4405600,77.259124
2006-12-20,96.099998,96.50,95.699997,96.00,3654600,77.331619
2006-12-19,95.099998,96.389999,94.910004,96.00,4933200,77.331619
2006-12-18,94.949997,96.160004,94.800003,95.440002,7984900,76.88052
2006-12-15,95.610001,95.800003,95.050003,95.300003,8086500,76.767745
2006-12-14,94.970001,95.720001,94.540001,95.360001,4644100,76.816076
2006-12-13,94.779999,95.330002,94.50,94.769997,6441300,76.340805
2006-12-12,93.599998,94.849998,93.300003,94.120003,7783800,75.817211
2006-12-11,93.720001,94.349998,93.559998,93.639999,3459200,75.43055
2006-12-08,93.650002,94.389999,93.470001,93.860001,4140000,75.607769
2006-12-07,94.00,94.43,93.550003,94.230003,4310800,75.90582
2006-12-06,94.480003,94.870003,94.010002,94.120003,5947300,75.817211
2006-12-05,93.510002,94.639999,93.440002,94.480003,6886200,76.107205
2006-12-04,92.50,93.949997,92.25,93.510002,7507900,75.325832
2006-12-01,91.900002,91.910004,90.550003,91.25,5445400,73.505315
2006-11-30,91.349998,92.480003,91.25,91.919998,6470700,74.045024
2006-11-29,91.349998,91.660004,91.010002,91.519997,4623000,73.722808
2006-11-28,90.650002,91.57,90.43,91.349998,4962100,73.585868
2006-11-27,92.709999,93.239998,91.120003,91.449997,6284000,73.66642
2006-11-24,93.050003,93.75,92.980003,93.349998,2129800,75.196943
2006-11-22,92.900002,93.739998,92.800003,93.519997,3351700,75.333883
2006-11-21,93.010002,93.43,92.849998,93.080002,3067800,74.979451
2006-11-20,93.599998,93.800003,93.010002,93.25,5010600,75.116391
2006-11-17,93.419998,94.050003,93.309998,93.809998,5251000,75.56749
2006-11-16,93.07,93.599998,92.599998,93.470001,4171500,75.29361
2006-11-15,93.080002,93.279999,92.540001,93.110001,4172800,75.003616
2006-11-14,92.00,93.290001,91.650002,93.290001,5873000,75.148613
2006-11-13,91.550003,92.43,91.410004,92.07,4358300,74.165856
2006-11-10,92.300003,92.349998,91.629997,91.760002,5369600,73.916141
2006-11-09,92.589996,93.190002,92.370003,92.419998,4518900,74.447793
2006-11-08,92.25,92.919998,92.010002,92.589996,6022200,74.584733
2006-11-07,92.419998,93.400002,92.410004,92.75,7305200,74.471962
2006-11-06,91.50,92.739998,91.50,92.599998,6240600,74.351521
2006-11-03,91.760002,92.339996,91.18,91.410004,4506400,73.396036
2006-11-02,91.800003,91.949997,91.25,91.68,4895100,73.612825
2006-11-01,92.50,92.68,91.50,91.800003,5845700,73.709179
2006-10-31,91.50,92.68,91.50,92.330002,9267300,74.134732
2006-10-30,89.800003,92.00,89.800003,91.50,5594000,73.468297
2006-10-27,90.910004,91.889999,90.580002,90.760002,5840300,72.874128
2006-10-26,91.830002,91.93,91.25,91.540001,4990300,73.500415
2006-10-25,91.209999,91.989998,90.940002,91.830002,6122100,73.733266
2006-10-24,90.910004,91.949997,90.800003,91.489998,9222300,73.460266
2006-10-23,90.050003,92.00,90.010002,91.559998,8862300,73.516471
2006-10-20,90.040001,90.699997,89.550003,90.480003,7390900,72.649308
2006-10-19,89.800003,90.980003,89.309998,89.860001,10671400,72.151488
2006-10-18,90.510002,92.040001,89.730003,89.82,27875200,72.11937
